App,Category,Rating,Reviews,App_Size,Content.Rating,Genre
Boyaa Poker (En) – Social Texas Hold’em,GAME,4.3,71468,51,Teen,Board and Card
Daily K-Talk,FAMILY,4.3,264,60,Everyone,Education
AV Phonetics,FAMILY,4.3,259,49,Everyone,Education
Xbox,FAMILY,4.3,556659,46,Everyone,Entertainment
Modern Strike Online,GAME,4.3,834117,44,Teen,Action and Adventure
My Tamagotchi Forever,FAMILY,4.3,28735,91,Everyone,Casual
Super Jabber Jump,GAME,4.3,85882,23,Everyone,Arcade
Temple Run 2,GAME,4.3,8118609,62,Everyone,Action and Adventure
TV Local El Salvador,FAMILY,4.3,323,3.6,Everyone,Entertainment
Ambulance Rescue Simulator 17,FAMILY,4.3,6669,31,Everyone,Simulation
Super Flashlight + LED,TOOLS,4.3,54207,4.4,Everyone,Tools
Burrito Bash – We Bare Bears,FAMILY,4.3,10776,21,Everyone,Arcade
Jagobd - Bangla TV(Official),FAMILY,4.3,39109,4,Everyone,Entertainment
F-Secure SAFE,TOOLS,4.3,9433,9.3,Everyone,Tools
Justice League Action Run,GAME,4.3,22333,9.7,Everyone 10+,Action and Adventure
HSPA+ Tweaker (3G booster),TOOLS,4.3,99290,3.9,Everyone,Tools
Skater Boy,GAME,4.3,1167143,12,Everyone,Arcade
DV-2019 Results,FAMILY,4.3,158,2.6,Everyone,Entertainment
The DL Hughley Show,FAMILY,4.3,23,11,Everyone,Entertainment
FlexBook,FAMILY,4.3,104,12,Everyone,Education
Toy Guitar with songs for kids,FAMILY,4.3,1369,9.8,Everyone,Music
O Launcher,TOOLS,4.3,2059,10,Everyone,Tools
Smokes Guide for CS:GO,FAMILY,4.3,445,29,Everyone,Entertainment
DV-2019 PHOTO TOOL,FAMILY,4.3,21,2.5,Everyone,Entertainment
LEGO® DC Mighty Micros,FAMILY,4.3,139545,63,Everyone,Racing
TETRIS Blitz,FAMILY,4.4,201631,96,Everyone,Puzzle
Sid Story,GAME,4.4,28510,78,Teen,Board and Card
Virtual Assistant DataBot: Artificial Intelligence,FAMILY,4.4,80927,27,Everyone,Entertainment
Hangman,FAMILY,4.4,23302,12,Everyone,Puzzle
Cartoon Wars: Blade,GAME,4.4,165656,38,Teen,Arcade
LED Flashlight,TOOLS,4.4,207706,4.3,Everyone,Tools
BLACKJACK!,GAME,4.4,524467,33,Teen,Board and Card
Grand Bat Superhero Flying Assault Rescue Mission,GAME,4.4,1094,37,Teen,Action and Adventure
Sight Words Pre-K to Grade-3,FAMILY,4.4,1185,40,Everyone,Education
CV Creator,FAMILY,4.4,31,8.3,Everyone,Education
Halloween Sandbox Number Coloring- Color By Number,FAMILY,4.4,289,19,Everyone,Entertainment
Signal Spy - Monitor Signal Strength & Data Usage,TOOLS,4.4,875,8.5,Everyone,Tools
Rope Hero: Vice Town,GAME,4.4,452589,99,Mature 17+,Action and Adventure
Unseen - No Last Seen,TOOLS,4.4,103909,9.2,Everyone,Tools
Princess Palace: Royal Pony,FAMILY,4.4,11442,66,Everyone,Education
Saiyan Z: Super SSJ Ultimate Combat,GAME,4.4,306,61,Everyone,Action and Adventure
Dance School Stories - Dance Dreams Come True,FAMILY,4.4,91171,36,Everyone,Role Playing
"DataCamp - Learn R, Python & SQL",FAMILY,4.4,944,12,Everyone,Education
Battery Calibration,TOOLS,4.4,134412,11,Everyone,Tools
Knights N Squires,FAMILY,4.4,148826,49,Teen,Role Playing
Rope Superhero Unlimited,GAME,4.4,6735,26,Mature 17+,Action and Adventure
Guide for CS:GO,FAMILY,4.4,16459,88,Everyone,Entertainment
Beauty and the Beast,FAMILY,4.4,70883,31,Everyone,Puzzle
THE KING OF FIGHTERS-A 2012(F),GAME,4.4,406511,21,Teen,Action and Adventure
Coloring & Learn,FAMILY,4.4,12753,51,Everyone,Education
Pixelmania - Color by number & create pixel art,FAMILY,4.4,3588,18,Everyone,Entertainment
Guns'n'Glory,FAMILY,4.4,89947,22,Everyone 10+,Strategy
Talking Tom & Ben News,FAMILY,4.4,1131937,41,Everyone,Entertainment
Merge Dragons!,GAME,4.5,214777,91,Everyone,Puzzle
AP Psychology Prep: Practice Tests and Flashcards,FAMILY,4.5,242,5.4,Everyone,Education
Avast Mobile Security 2018 - Antivirus & App Lock,TOOLS,4.5,5180480,26,Everyone,Tools
F-Secure AV Test,TOOLS,4.5,1250,0.241,Everyone,Tools
Super Jim Jump - pixel 3d,GAME,4.5,10393,18,Everyone,Arcade
Sonic Dash,GAME,4.5,3778921,75,Everyone,Arcade
Elite Commando Shooting War,GAME,4.5,14,45,Teen,Action and Adventure
War Z 2,FAMILY,4.5,97071,87,Teen,Strategy
CV Examples 2018,FAMILY,4.5,625,26,Everyone,Education
Kids Corner: Interactive Tales and Games for kids,FAMILY,4.5,6404,46,Everyone,Education
Esto Es Guerra TVN,FAMILY,4.5,1303,13,Everyone,Entertainment
Left vs Right: Brain Training,FAMILY,4.5,75719,30,Everyone,Education
OTOME of Ikemen cafe,FAMILY,4.5,1318,24,Teen,Simulation
Dr. Battery - Fast Charger - Super Cleaner 2018,TOOLS,4.5,101738,10,Everyone,Tools
CPU-Z,TOOLS,4.5,295430,1.4,Everyone,Tools
Art Pixel Coloring. Color by Number.,FAMILY,4.5,992,49,Teen,Entertainment
CKZ ORIGINS,GAME,4.5,219821,10,Mature 17+,Action and Adventure
Ek Kahani Aisi Bhi Season 2 - The Horror Story,FAMILY,4.5,28,5.6,Teen,Entertainment
My Horse,FAMILY,4.5,1333338,8.7,Everyone,Casual
Igitabo cy'Indirimbo,FAMILY,4.5,93,1.6,Everyone,Entertainment
Sniper Gun Shot 3D: Impossible Missions,GAME,4.6,20,34,Mature 17+,Action and Adventure
Dragon Nest M,FAMILY,4.6,11872,62,Teen,Role Playing
X Home Bar - Free,TOOLS,4.6,4210,1.9,Everyone,Tools
Morse Notifier Free,TOOLS,4.6,79,3,Everyone,Tools
F-Secure SENSE,TOOLS,4.6,57,13,Everyone,Tools
DRAGON BALL LEGENDS,GAME,4.6,337752,48,Teen,Action and Adventure
Looper!,GAME,4.6,48256,62,Everyone,Puzzle
Toddler Kids Puzzles PUZZINGO,FAMILY,4.6,14014,60,Everyone,Education
Quran Juz-30 - Mahad al Zahra,FAMILY,4.6,2654,6.7,Everyone,Education
FL Lottery Results,FAMILY,4.6,1481,3.1,Teen,Entertainment
"Calculator - free calculator, multi calculator app",TOOLS,4.6,25592,7.5,Everyone,Tools
あなカレ【BL】無料ゲーム,FAMILY,4.7,6073,8.5,Mature 17+,Simulation
Nasihat - Chalo ae Pyaara,FAMILY,4.7,557,6.7,Everyone,Education
Bubbu – My Virtual Pet,FAMILY,4.7,394842,75,Everyone,Casual
Al Quran Audio (Full 30 Juz),FAMILY,4.7,7878,3.6,Everyone,Education
AP European History: Practice Tests and Flashcards,FAMILY,4.7,7,5.4,Everyone,Education
"No. Color - Color by Number, Number Coloring",FAMILY,4.8,269194,6.9,Everyone,Entertainment
El Falı,FAMILY,4.8,36968,16,Everyone,Entertainment
